Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Valor,SEXE,EDAT_1
2023-01-01,1,Ciutat Vella,1,el Raval,1,7,2,76
2023-01-01,1,Ciutat Vella,1,el Raval,1,8,2,77
2023-01-01,1,Ciutat Vella,1,el Raval,1,5,2,78
2023-01-01,1,Ciutat Vella,1,el Raval,1,6,2,79
2023-01-01,1,Ciutat Vella,1,el Raval,1,6,2,80
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,2,81
2023-01-01,1,Ciutat Vella,1,el Raval,1,7,2,82
2023-01-01,1,Ciutat Vella,1,el Raval,1,6,2,83
2023-01-01,1,Ciutat Vella,1,el Raval,1,6,2,84
2023-01-01,1,Ciutat Vella,1,el Raval,1,7,2,85
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,2,86
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,2,87
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,2,88
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,2,89
2023-01-01,1,Ciutat Vella,1,el Raval,1,5,2,90
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,2,92
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,2,95
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,2,96
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,2,100
2023-01-01,1,Ciutat Vella,1,el Raval,2,29,1,0
2023-01-01,1,Ciutat Vella,1,el Raval,2,31,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,26,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,31,1,3
2023-01-01,1,Ciutat Vella,1,el Raval,2,41,1,4
2023-01-01,1,Ciutat Vella,1,el Raval,2,37,1,5
2023-01-01,1,Ciutat Vella,1,el Raval,2,34,1,6
2023-01-01,1,Ciutat Vella,1,el Raval,2,33,1,7
2023-01-01,1,Ciutat Vella,1,el Raval,2,31,1,8
2023-01-01,1,Ciutat Vella,1,el Raval,2,43,1,9
2023-01-01,1,Ciutat Vella,1,el Raval,2,35,1,10
2023-01-01,1,Ciutat Vella,1,el Raval,2,39,1,11
2023-01-01,1,Ciutat Vella,1,el Raval,2,31,1,12
2023-01-01,1,Ciutat Vella,1,el Raval,2,35,1,13
2023-01-01,1,Ciutat Vella,1,el Raval,2,35,1,14
2023-01-01,1,Ciutat Vella,1,el Raval,2,27,1,15
2023-01-01,1,Ciutat Vella,1,el Raval,2,20,1,16
2023-01-01,1,Ciutat Vella,1,el Raval,2,31,1,17
2023-01-01,1,Ciutat Vella,1,el Raval,2,29,1,18
2023-01-01,1,Ciutat Vella,1,el Raval,2,27,1,19
2023-01-01,1,Ciutat Vella,1,el Raval,2,36,1,20
2023-01-01,1,Ciutat Vella,1,el Raval,2,30,1,21
2023-01-01,1,Ciutat Vella,1,el Raval,2,40,1,22
2023-01-01,1,Ciutat Vella,1,el Raval,2,40,1,23
2023-01-01,1,Ciutat Vella,1,el Raval,2,62,1,24
2023-01-01,1,Ciutat Vella,1,el Raval,2,58,1,25
2023-01-01,1,Ciutat Vella,1,el Raval,2,55,1,26
2023-01-01,1,Ciutat Vella,1,el Raval,2,58,1,27
2023-01-01,1,Ciutat Vella,1,el Raval,2,75,1,28
2023-01-01,1,Ciutat Vella,1,el Raval,2,68,1,29
2023-01-01,1,Ciutat Vella,1,el Raval,2,66,1,30
2023-01-01,1,Ciutat Vella,1,el Raval,2,51,1,31
